iter	Passed	Remaining
420	2386	3281
421	2392	3277
422	2399	3273
423	2406	3269
424	2414	3266
425	2421	3263
426	2428	3259
427	2435	3254
428	2441	3250
429	2448	3246
430	2455	3242
431	2462	3237
432	2469	3233
433	2475	3228
434	2482	3223
435	2489	3220
436	2496	3216
437	2504	3213
438	2511	3208
439	2517	3204
440	2524	3199
441	2530	3194
442	2537	3189
443	2543	3185
444	2550	3180
445	2556	3175
446	2563	3171
447	2569	3166
448	2576	3161
449	2582	3156
450	2588	3151
451	2595	3147
452	2602	3142
453	2608	3137
454	2614	3132
455	2621	3127
456	2628	3123
457	2635	3118
458	2642	3114
459	2648	3109
460	2655	3104
461	2662	3099
462	2668	3095
463	2674	3089
464	2681	3084
465	2688	3080
466	2695	3076
467	2701	3071
468	2708	3066
469	2714	3061
470	2721	3056
471	2727	3051
472	2733	3045
473	2740	3040
474	2746	3035
475	2752	3030
476	2760	3026
477	2766	3021
478	2773	3017
479	2780	3011
480	2786	3006
481	2793	3002
482	2801	2999
483	2809	2994
484	2815	2989
485	2822	2985
486	2828	2979
487	2835	2974
488	2842	2970
489	2848	2964
490	2855	2960
491	2862	2955
492	2868	2950
493	2874	2944
494	2881	2939
495	2888	2934
496	2895	2930
497	2902	2925
498	2908	2920
499	2915	2915
500	2921	2909
501	2928	2904
502	2934	2899
503	2940	2894
504	2947	2888
505	2954	2884
506	2960	2879
507	2967	2873
508	2973	2868
509	2980	2863
510	2986	2858
511	2993	2853
512	3000	2848
513	3007	2843
514	3013	2838
515	3021	2833
516	3027	2828
517	3034	2823
518	3041	2818
519	3048	2814
520	3056	2810
521	3063	2805
522	3069	2799
523	3076	2794
524	3082	2789
525	3089	2784
526	3096	2779
527	3103	2774
528	3109	2768
529	3115	2763
530	3122	2757
531	3128	2752
532	3134	2746
533	3141	2741
534	3147	2735
535	3153	2730
536	3160	2724
537	3166	2719
538	3173	2714
539	3180	2708
540	3187	2704
541	3193	2698
542	3199	2693
543	3206	2687
544	3212	2682
545	3219	2676
546	3225	2671
547	3232	2665
548	3238	2660
549	3245	2655
550	3252	2650
551	3258	2644
552	3265	2639
553	3272	2634
554	3278	2628
555	3285	2623
556	3292	2618
557	3298	2612
558	3304	2606
559	3311	2601
560	3317	2596
561	3324	2590
562	3331	2585
563	3338	2580
564	3344	2574
565	3350	2569
566	3357	2563
567	3363	2558
568	3371	2553
569	3377	2547
570	3384	2542
571	3391	2537
572	3397	2531
573	3403	2526
574	3410	2520
575	3416	2515
576	3422	2509
577	3429	2503
578	3436	2498
579	3442	2492
580	3448	2486
581	3454	2481
582	3461	2476
583	3468	2470
584	3474	2464
585	3481	2459
586	3488	2454
587	3495	2449
588	3502	2443
589	3509	2438
590	3515	2432
591	3521	2427
592	3528	2421
593	3534	2416
594	3541	2410
595	3547	2404
596	3554	2399
597	3561	2393
598	3567	2388
599	3574	2382
600	3581	2377
601	3588	2372
602	3594	2366
603	3600	2360
604	3607	2355
605	3614	2350
606	3620	2344
607	3627	2338
608	3633	2332
609	3640	2327
610	3646	2321
611	3652	2315
612	3659	2310
613	3666	2304
614	3672	2299
615	3679	2293
616	3686	2288
617	3692	2282
618	3699	2276
619	3705	2271
620	3711	2265
621	3718	2259
622	3724	2254
623	3731	2248
624	3737	2242
625	3744	2237
626	3751	2231
627	3757	2225
628	3764	2220
629	3770	2214
630	3777	2208
631	3784	2203
632	3790	2197
633	3796	2191
634	3803	2186
635	3809	2180
636	3815	2174
637	3821	2168
638	3828	2162
639	3834	2156
640	3840	2151
641	3847	2145
642	3853	2139
643	3859	2133
644	3866	2127
645	3872	2122
646	3878	2116
647	3886	2111
648	3892	2105
649	3900	2100
650	3906	2094
651	3914	2089
652	3921	2084
653	3928	2078
654	3935	2072
655	3941	2067
656	3948	2061
657	3954	2055
658	3961	2049
659	3967	2044
660	3974	2038
661	3982	2033
662	3988	2027
663	3995	2021
664	4001	2015
665	4007	2009
666	4014	2004
667	4020	1998
668	4027	1992
669	4033	1986
670	4039	1980
671	4046	1974
672	4052	1969
673	4059	1963
674	4066	1958
675	4073	1952
676	4081	1947
677	4088	1941
678	4095	1936
679	4103	1930
680	4109	1925
681	4116	1919
682	4123	1913
683	4130	1908
684	4137	1902
685	4145	1897
686	4152	1892
687	4160	1886
688	4167	1880
689	4174	1875
690	4182	1870
691	4189	1864
692	4196	1858
693	4202	1853
694	4209	1847
695	4215	1841
696	4222	1835
697	4228	1829
698	4234	1823
699	4241	1817
700	4248	1812
701	4254	1806
702	4261	1800
703	4267	1794
704	4274	1788
705	4281	1782
706	4287	1776
707	4294	1771
708	4300	1765
709	4307	1759
710	4313	1753
711	4320	1747
712	4326	1741
